Channel Name,SRP Filename,SNP Filename,Position,Satellite,Status
Canal NOS,1_0_1_8472_27_36_CE40000_0_0_0.png,canalnos.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Canal NOS,1_0_1_12EC_30_36_CE40000_0_0_0.png,canalnos.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Canal NOS,1_0_1_12ED_30_36_CE40000_0_0_0.png,canalnos.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Canal Panda,1_0_1_376_26_36_CE40000_0_0_0.png,canalpanda.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Canal Panda,1_0_1_1784_26_36_CE40000_0_0_0.png,canalpanda.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Canal Q,1_0_1_143_26_36_CE40000_0_0_0.png,canalq.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Canal Q,1_0_1_1789_26_36_CE40000_0_0_0.png,canalq.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Canal de Teste,1_0_1_1268_2F_36_CE40000_0_0_0.png,canaldeteste.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Canal de Teste,1_0_1_12EF_30_36_CE40000_0_0_0.png,canaldeteste.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Cartoon Network,1_0_1_142_26_36_CE40000_0_0_0.png,cartoonnetwork.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Cartoon Network,1_0_1_1788_26_36_CE40000_0_0_0.png,cartoonnetwork.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Casa e Cozinha,1_0_1_649_27_36_CE40000_0_0_0.png,casaecozinha.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Casa e Cozinha,1_0_1_17B8_27_36_CE40000_0_0_0.png,casaecozinha.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
DAZN 1,1_0_1_209_27_36_CE40000_0_0_0.png,dazn1.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
DAZN 2,1_0_1_F3D_27_36_CE40000_0_0_0.png,dazn2.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
DAZN 2 HD,1_0_1_17B9_27_36_CE40000_0_0_0.png,dazn2hd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
DAZN 3,1_0_1_F3E_27_36_CE40000_0_0_0.png,dazn3.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
DAZN 3,1_0_1_17BA_27_36_CE40000_0_0_0.png,dazn3.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
DAZN 4,1_0_1_20B_27_36_CE40000_0_0_0.png,dazn4.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
DAZN 4,1_0_1_13B0_27_36_CE40000_0_0_0.png,dazn4.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
DAZN 5,1_0_1_20C_27_36_CE40000_0_0_0.png,dazn5.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
DAZN 5,1_0_1_13B1_27_36_CE40000_0_0_0.png,dazn5.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Discovery Channel HD,1_0_1_17A0_2F_36_CE40000_0_0_0.png,discoverychannelhd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Discovery HD,1_0_1_332_2F_36_CE40000_0_0_0.png,discoveryhd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Disney Channel,1_0_1_336_2F_36_CE40000_0_0_0.png,disneychannel.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Disney Channel,1_0_1_179C_2F_36_CE40000_0_0_0.png,disneychannel.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Disney Junior,1_0_1_1267_2F_36_CE40000_0_0_0.png,disneyjunior.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Disney Junior,1_0_1_FA_30_36_CE40000_0_0_0.png,disneyjunior.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
E! Entertainment,1_0_1_146_26_36_CE40000_0_0_0.png,eentertainment.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
E! Entertainment,1_0_1_178C_26_36_CE40000_0_0_0.png,eentertainment.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
EFE Radio,1_0_1_CD_0_FF00_CE40000_0_0_0.png,eferadio.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Euronews,1_0_1_1396_30_36_CE40000_0_0_0.png,euronews.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Euronews,1_0_1_F5_30_36_CE40000_0_0_0.png,euronews.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Eurosport 1 HD,1_0_1_199_27_36_CE40000_0_0_0.png,eurosport1hd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Eurosport 1 HD,1_0_1_13AA_27_36_CE40000_0_0_0.png,eurosport1hd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Eurosport 2,1_0_1_141_26_36_CE40000_0_0_0.png,eurosport2.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Eurosport 2,1_0_1_1787_26_36_CE40000_0_0_0.png,eurosport2.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
FTV,1_0_1_147_26_36_CE40000_0_0_0.png,ftv.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Fashion TV,1_0_1_178D_26_36_CE40000_0_0_0.png,fashiontv.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Feeds 2,1_0_19_BB8_6_6_CE40000_0_0_0.png,feeds2.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Feeds 3,1_0_1_C1C_6_6_CE40000_0_0_0.png,feeds3.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
France 24,1_0_1_1397_30_36_CE40000_0_0_0.png,france24.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
France 24,1_0_1_9D4_26_36_CE40000_0_0_0.png,france24.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
France 24 (I),1_0_1_EE0_26_36_CE40000_0_0_0.png,france24i.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
France 24 (I),1_0_1_F6_30_36_CE40000_0_0_0.png,france24i.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Fuel TV,1_0_1_329_2F_36_CE40000_0_0_0.png,fueltv.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
GOD Channel,1_0_1_8FC_6_6_CE40000_0_0_0.png,godchannel.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Globo News,1_0_1_17A7_2F_36_CE40000_0_0_0.png,globonews.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
HIT FM,1_0_2_1A_65_0_CE40000_0_0_0.png,hitfm.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
HOT,1_0_1_139A_30_36_CE40000_0_0_0.png,hot.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
HOT,1_0_1_9D5_26_36_CE40000_0_0_0.png,hot.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Hollywood,1_0_1_139_26_36_CE40000_0_0_0.png,hollywood.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Hot,1_0_1_EE1_26_36_CE40000_0_0_0.png,hot.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Hot,1_0_1_F9_30_36_CE40000_0_0_0.png,hot.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
ID Investigation Discovery,1_0_1_13B3_27_36_CE40000_0_0_0.png,idinvestigationdiscovery.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
ID Investigation Discovery,1_0_1_1CB_27_36_CE40000_0_0_0.png,idinvestigationdiscovery.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
INTERECONOMIA,1_0_2_26_65_0_CE40000_0_0_0.png,intereconomia.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Kiss FM,1_0_2_19_65_0_CE40000_0_0_0.png,kissfm.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
