Frequency,Polarization,SymbolRate,FEC,System,SID,ServiceName,Type,Encryption
3732,L,40410,2/3,DVB-S2,101,RTI 1,1,FTA
3732,L,40410,2/3,DVB-S2,102,RTI 2,1,FTA
3732,L,40410,2/3,DVB-S2,103,RTI La 3,1,FTA
3732,L,40410,2/3,DVB-S2,104,La Nouvelle Chaîne Ivorienne,1,FTA
3732,L,40410,2/3,DVB-S2,105,A+ Ivoire,1,FTA
3732,L,40410,2/3,DVB-S2,106,Life TV,1,FTA
3732,L,40410,2/3,DVB-S2,107,7 Info,1,FTA
3826,R,13830,4/5,DVB-S2,361,Télé Congo,1,FTA
3826,R,13830,4/5,DVB-S2,364,Equidia Pro 1,1,Encrypted
3826,R,13830,4/5,DVB-S2,365,Equi Africa,1,FTA
3826,R,13830,4/5,DVB-S2,362,Radio Congo,2,FTA
3832,L,7585,2/3,DVB-S2,1,CRTV,1,FTA
3832,L,7585,2/3,DVB-S2,2,CRTV News,1,FTA
3832,L,7585,2/3,DVB-S2,3,CRTV Sports and Entertainment,1,FTA
3852,R,14167,3/4,DVB-S2,1,ZNBC TV 3,1,FTA
3852,R,14167,3/4,DVB-S2,3,Mozo TV,1,FTA
3852,R,14167,3/4,DVB-S2,5,Parliament TV,1,FTA
3852,R,14167,3/4,DVB-S2,6,Zanis TV,1,FTA
3852,R,14167,3/4,DVB-S2,9,ZNBC TV 4,1,FTA
3852,R,14167,3/4,DVB-S2,88,Revelation TV,1,FTA
3852,R,14167,3/4,DVB-S2,89,Crown TV,1,FTA
3852,R,14167,3/4,DVB-S2,91,Sun FM TV,1,FTA
3852,R,14167,3/4,DVB-S2,92,Beats TV,1,FTA
3852,R,14167,3/4,DVB-S2,93,Musanza TV,1,FTA
3852,R,14167,3/4,DVB-S2,94,Sun Sports TV,1,FTA
3852,R,14167,3/4,DVB-S2,98,Q TV,1,FTA
3852,R,14167,3/4,DVB-S2,101,ZNBC TV 1,1,FTA
3852,R,14167,3/4,DVB-S2,102,ZNBC TV 2,1,FTA
3852,R,14167,3/4,DVB-S2,103,ZNBC TV 3,1,FTA
3852,R,14167,3/4,DVB-S2,107,ABN TV,1,FTA
3852,R,14167,3/4,DVB-S2,110,Ingoma TV,1,FTA
3852,R,14167,3/4,DVB-S2,112,Promise TV,1,FTA
3852,R,14167,3/4,DVB-S2,128,NAC 28 TV,1,FTA
3852,R,14167,3/4,DVB-S2,150,KBN TV,1,FTA
3852,R,14167,3/4,DVB-S2,171,Mafken TV,1,FTA
3852,R,14167,3/4,DVB-S2,301,Prime TV,1,FTA
3852,R,14167,3/4,DVB-S2,450,Hope Channel Zambia,1,FTA
3852,R,14167,3/4,DVB-S2,512,Lumen TV,1,FTA
