Frequency,Polarization,SymbolRate,FEC,System,SID,ServiceName,Type,Encryption
10758,V,22000,2/3,DVB-S2,29850,Movistar Plus+,1,Encrypted
10758,V,22000,2/3,DVB-S2,29851,LaLiga TV Hypermotion,1,Encrypted
10758,V,22000,2/3,DVB-S2,29853,DAZN LaLiga 2,1,Encrypted
10758,V,22000,2/3,DVB-S2,29854,M+ Liga de Campeones 2,1,Encrypted
10758,V,22000,2/3,DVB-S2,29855,M+ Liga de Campeones 3,1,Encrypted
10758,V,22000,2/3,DVB-S2,29858,Mezzo Live,1,Encrypted
10758,V,22000,2/3,DVB-S2,29859,M+ LaLiga 3,1,Encrypted
10758,V,22000,2/3,DVB-S2,29864,M+ Vamos 2,1,Encrypted
10773,H,22000,3/4,DVB-S2,21100,Anixe HD Serie,1,FTA
10773,H,22000,3/4,DVB-S2,21103,QVC Deutschland,1,FTA
10773,H,22000,3/4,DVB-S2,21104,HSE,1,FTA
10773,H,22000,3/4,DVB-S2,21107,Shop LC Deutschland,1,FTA
10773,H,22000,3/4,DVB-S2,21108,Welt,1,Encrypted
10773,H,22000,3/4,DVB-S2,21118,Welt,1,Encrypted
10788,V,22000,5/6,DVB-S,30353,DAZN LaLiga 2,1,Encrypted
10788,V,22000,5/6,DVB-S,30354,Multideporte,1,Encrypted
10788,V,22000,5/6,DVB-S,30357,DAZN Baloncesto 3,1,Encrypted
10788,V,22000,5/6,DVB-S,30359,Nick Jr España,1,Encrypted
10788,V,22000,5/6,DVB-S,30361,Mezzo,1,Encrypted
10788,V,22000,5/6,DVB-S,30362,LaLiga TV Bar 3,1,Encrypted
10788,V,22000,5/6,DVB-S,30363,M+ Deportes 6,1,Encrypted
10788,V,22000,5/6,DVB-S,30365,M+ LaLiga 2,1,Encrypted
10788,V,22000,5/6,DVB-S,30366,La Sexta,1,Encrypted
10788,V,22000,5/6,DVB-S,30367,M+ Liga de Campeones 3,1,Encrypted
10788,V,22000,5/6,DVB-S,30372,DAZN 1 España,1,Encrypted
10788,V,22000,5/6,DVB-S,30373,Eurosport 2,1,Encrypted
10803,H,22000,3/4,DVB-S2,5500,Disney Channel Deutschland,1,Encrypted
10803,H,22000,3/4,DVB-S2,5501,HSE Extra,1,FTA
10803,H,22000,3/4,DVB-S2,5502,1-2-3 TV,1,FTA
10803,H,22000,3/4,DVB-S2,5503,Deluxe Music,1,Encrypted
10803,H,22000,3/4,DVB-S2,5504,QVC Zwei,1,FTA
10803,H,22000,3/4,DVB-S2,5505,Sport 1,1,Encrypted
10803,H,22000,3/4,DVB-S2,5510,Disney Channel Deutschland,1,Encrypted
10803,H,22000,3/4,DVB-S2,5513,Deluxe Music,1,Encrypted
10818,V,22000,2/3,DVB-S2,29951,LaLiga TV Bar,1,Encrypted
10818,V,22000,2/3,DVB-S2,29956,Primera Federación,1,Encrypted
10818,V,22000,2/3,DVB-S2,29960,M+ Vamos,1,Encrypted
10818,V,22000,2/3,DVB-S2,29961,M+ Acción,1,Encrypted
10818,V,22000,2/3,DVB-S2,29963,M+ Drama,1,Encrypted
10818,V,22000,2/3,DVB-S2,29964,M+ Originales,1,Encrypted
10818,V,22000,2/3,DVB-S2,29965,M+ LaLiga 2,1,Encrypted
10818,V,22000,2/3,DVB-S2,29967,M+ LaLiga,1,Encrypted
10832,H,22000,2/3,DVB-S2,61200,RTL Deutschland,1,Encrypted
10832,H,22000,2/3,DVB-S2,61201,Vox Deutschland,1,Encrypted
10832,H,22000,2/3,DVB-S2,61204,N-TV,1,Encrypted
10832,H,22000,2/3,DVB-S2,61205,RTL Zwei Deutschland,1,Encrypted
10832,H,22000,2/3,DVB-S2,61206,RTL Up,1,Encrypted
10832,H,22000,2/3,DVB-S2,61207,Voxup,1,Encrypted
10847,V,22000,5/6,DVB-S,30150,Canal Portada,1,FTA
10876,V,22000,5/6,DVB-S,30601,M+ Golf,1,Encrypted
